,playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour
186,aristide-bance,Aristide Bancé,FC Augsburg,Germany,19.09.1984,190.0,96.0,Center Forward,240.0,88.0,68.0,84.0,73.0,22.0,1.0,2.0,0.875
187,diego-lugano,Diego Lugano,Paris Saint-Germain,France,02.11.1980,188.0,88.0,Center Back,330.0,176.0,82.0,72.0,36.0,107.0,1.0,4.0,0.25
188,emre-beloezoglu,Emre Belözo?lu,Atlético Madrid,Spain,07.09.1980,170.0,68.0,Center Midfielder,465.0,241.0,103.0,121.0,43.0,100.0,5.0,4.0,0.25
189,giovani-dos-santos,Giovani Dos Santos,RCD Mallorca,Spain,11.05.1989,175.0,74.0,Right Winger,251.0,109.0,57.0,85.0,53.0,20.0,0.0,0.0,0.75
190,manucho, Manucho,Real Valladolid,Spain,07.03.1983,187.0,83.0,Center Forward,173.0,52.0,60.0,61.0,36.0,16.0,2.0,0.0,1.0
191,natxo-insa, Natxo Insa,Celta Vigo,Spain,09.06.1986,177.0,70.0,Attacking Midfielder,162.0,58.0,36.0,68.0,7.0,39.0,0.0,1.0,0.5
192,renato-civelli,Renato Civelli,OGC Nice,France,14.10.1983,191.0,87.0,Center Back,311.0,121.0,93.0,97.0,24.0,71.0,2.0,7.0,0.0
193,sereno, Sereno,Real Valladolid,Spain,18.05.1985,188.0,78.0,Center Back,132.0,51.0,32.0,49.0,5.0,35.0,2.0,4.0,0.25
194,tunay-torun,Tunay Torun,VfB Stuttgart,Germany,21.04.1990,179.0,75.0,Right Winger,156.0,47.0,47.0,62.0,25.0,21.0,1.0,1.0,0.25
195,ashley-young,Ashley Young,Manchester United,England,09.07.1985,180.0,65.0,Left Midfielder,420.0,193.0,114.0,113.0,77.0,57.0,1.0,2.0,0.75
196,ben-foster,Ben Foster,West Bromwich Albion,England,03.04.1983,188.0,80.0,Goalkeeper,247.0,89.0,68.0,90.0,0.0,9.0,0.0,1.0,0.0
197,darren-bent,Darren Bent,Aston Villa,England,06.02.1984,180.0,73.0,Center Forward,466.0,177.0,118.0,171.0,190.0,16.0,0.0,0.0,1.0
198,gareth-barry,Gareth Barry,Manchester City,England,23.02.1981,184.0,78.0,Center Midfielder,680.0,314.0,170.0,196.0,65.0,105.0,2.0,2.0,0.125
199,james-milner,James Milner,Manchester City,England,04.01.1986,170.0,67.0,Right Midfielder,538.0,265.0,121.0,152.0,55.0,60.0,0.0,1.0,0.25
200,jermain-defoe,Jermain Defoe,Tottenham Hotspur,England,07.10.1982,170.0,65.0,Center Forward,564.0,256.0,133.0,175.0,225.0,52.0,2.0,3.0,0.75
201,jermaine-jenas,Jermaine Jenas,Nottingham Forest,England,18.02.1983,179.0,76.0,Center Midfielder,423.0,189.0,108.0,126.0,44.0,49.0,0.0,1.0,0.25
202,joleon-lescott,Joleon Lescott,Manchester City,England,16.08.1982,188.0,83.0,Center Back,473.0,242.0,121.0,110.0,33.0,30.0,0.0,0.0,0.5
203,julio-baptista, Júlio Baptista,Málaga CF,Spain,01.10.1981,183.0,72.0,Attacking Midfielder,351.0,180.0,79.0,92.0,107.0,33.0,1.0,1.0,0.625
204,julio-cesar_4, Júlio César,Queens Park Rangers,England,03.09.1979,186.0,79.0,Goalkeeper,412.0,240.0,89.0,83.0,0.0,17.0,0.0,3.0,0.125
205,kaka, Kaká,Real Madrid,Spain,22.04.1982,186.0,78.0,Attacking Midfielder,497.0,318.0,102.0,77.0,161.0,44.0,2.0,0.0,0.0
206,maicon, Maicon,Manchester City,England,26.07.1981,184.0,77.0,Right Fullback,433.0,257.0,99.0,77.0,38.0,70.0,2.0,2.0,0.75
207,matthew-upson,Matthew Upson,Stoke City,England,18.04.1979,185.0,72.0,Center Back,450.0,181.0,110.0,159.0,18.0,46.0,0.0,2.0,0.125
208,michel-bastos, Michel Bastos,Olympique Lyon,France,02.08.1983,177.0,71.0,Left Midfielder,298.0,128.0,87.0,83.0,65.0,27.0,1.0,0.0,0.625
209,nelson-oliveira_2, Nélson Oliveira,Deportivo La Coruña,Spain,08.08.1991,184.0,75.0,Center Forward,136.0,43.0,41.0,52.0,25.0,20.0,1.0,1.0,0.375
210,peter-crouch,Peter Crouch,Stoke City,England,30.01.1981,202.0,80.0,Center Forward,526.0,232.0,134.0,160.0,163.0,31.0,2.0,2.0,0.0
211,roderick-miranda, Roderick Miranda,Deportivo La Coruña,Spain,30.03.1991,192.0,85.0,Center Back,71.0,30.0,16.0,25.0,0.0,19.0,1.0,0.0,0.375
212,shaun-wright-phillips,Shaun Wright-Phillips,Queens Park Rangers,England,25.10.1981,168.0,64.0,Right Winger,461.0,210.0,111.0,140.0,58.0,22.0,1.0,0.0,1.0
213,tom-huddlestone,Tom Huddlestone,Tottenham Hotspur,England,28.12.1986,188.0,80.0,Defensive Midfielder,370.0,162.0,93.0,115.0,21.0,49.0,1.0,4.0,0.5
214,wayne-rooney,Wayne Rooney,Manchester United,England,24.10.1985,178.0,78.0,Center Forward,608.0,370.0,115.0,123.0,271.0,108.0,2.0,3.0,0.0
215,wes-brown,Wes Brown,Sunderland AFC,England,13.10.1979,185.0,75.0,Right Fullback,429.0,257.0,83.0,89.0,7.0,44.0,1.0,3.0,0.25
216,dusan-djuric,Dusan ?uri?,Valenciennes FC,France,16.09.1984,180.0,73.0,Attacking Midfielder,171.0,80.0,34.0,57.0,33.0,16.0,0.0,0.0,0.25
217,brad-guzan,Brad Guzan,Aston Villa,England,09.09.1984,193.0,95.0,Goalkeeper,188.0,76.0,42.0,70.0,0.0,9.0,0.0,0.0,0.0
218,maurice-edu,Maurice Edu,Stoke City,England,18.04.1986,183.0,85.0,Defensive Midfielder,217.0,110.0,49.0,58.0,19.0,37.0,2.0,1.0,0.875
219,peguy-luyindula,Peguy Luyindula,Paris Saint-Germain,France,25.05.1979,178.0,72.0,Left Winger,475.0,197.0,122.0,156.0,106.0,17.0,1.0,0.0,1.0
222,marcelo_5, Marcelo,CF Badalona,Spain,08.10.1993,192.0,81.0,Center Back,25.0,12.0,5.0,8.0,0.0,7.0,0.0,1.0,0.5
223,alex-rubio, Álex Rubio,Sevilla FC,Spain,23.07.1993,185.0,77.0,Center Forward,20.0,5.0,5.0,10.0,4.0,5.0,0.0,0.0,0.125
224,alvaro_8, Álvaro,RCD Mallorca,Spain,19.05.1991,182.0,80.0,Center Forward,165.0,59.0,37.0,69.0,35.0,14.0,0.0,0.0,0.25
225,arrizabalaga, Arrizabalaga,Athletic Bilbao,Spain,03.10.1994,186.0,81.0,Goalkeeper,31.0,18.0,7.0,6.0,0.0,2.0,0.0,0.0,0.0
226,dalmau_2, Dalmau,Valencia CF,Spain,16.03.1992,178.0,70.0,Right Fullback,16.0,8.0,4.0,4.0,1.0,1.0,0.0,0.0,0.375
227,ivo-ilicevic,Ivo Ili?evi?,Hamburger SV,Germany,14.11.1986,174.0,63.0,Left Midfielder,246.0,99.0,55.0,92.0,43.0,25.0,1.0,2.0,0.125
228,robert-tesche,Robert Tesche,Hamburger SV,Germany,27.05.1987,182.0,78.0,Defensive Midfielder,186.0,69.0,46.0,71.0,17.0,16.0,1.0,2.0,0.125
229,sascha-moelders,Sascha Mölders,FC Augsburg,Germany,20.03.1985,185.0,79.0,Center Forward,247.0,89.0,58.0,100.0,121.0,17.0,0.0,0.0,0.0
230,sebastian-boenisch,Sebastian Boenisch,Bayer Leverkusen,Germany,01.02.1987,191.0,85.0,Left Fullback,188.0,90.0,51.0,47.0,6.0,22.0,1.0,1.0,0.0
231,calatayud, Calatayud,RCD Mallorca,Spain,21.12.1979,191.0,88.0,Goalkeeper,214.0,80.0,54.0,80.0,0.0,12.0,0.0,1.0,0.0
232,juanan, Juanan,Fortuna Düsseldorf,Germany,27.04.1987,192.0,87.0,Center Back,66.0,27.0,18.0,21.0,3.0,5.0,0.0,0.0,0.0
233,dariusz-dudka,Dariusz Dudka,Levante UD,Spain,09.12.1983,183.0,80.0,Defensive Midfielder,232.0,89.0,63.0,80.0,9.0,24.0,3.0,1.0,0.25
234,jan-mucha,Ján Mucha,Everton FC,England,05.12.1982,189.0,87.0,Goalkeeper,156.0,77.0,33.0,46.0,0.0,10.0,0.0,0.0,0.25
235,junior-diaz,Júnior Díaz,1. FSV Mainz 05,Germany,12.09.1983,185.0,76.0,Left Fullback,222.0,107.0,49.0,66.0,10.0,37.0,2.0,1.0,0.625
236,robert-lewandowski,Robert Lewandowski,Borussia Dortmund,Germany,21.08.1988,184.0,78.0,Center Forward,318.0,180.0,72.0,66.0,157.0,31.0,0.0,1.0,0.0
237,william-gallas,William Gallas,Tottenham Hotspur,England,17.08.1977,181.0,72.0,Center Back,655.0,344.0,174.0,137.0,41.0,71.0,0.0,3.0,1.0
238,artjoms-rudnevs,Artjoms Rud?evs,Hamburger SV,Germany,13.01.1988,183.0,81.0,Right Winger,157.0,62.0,30.0,65.0,59.0,17.0,1.0,0.0,0.0
239,artur-sobiech,Artur Sobiech,Hannover 96,Germany,12.06.1990,185.0,81.0,Center Forward,171.0,70.0,35.0,66.0,45.0,26.0,1.0,1.0,0.125
240,kevin-stoeger,Kevin Stöger,VfB Stuttgart,Germany,27.08.1993,175.0,70.0,Attacking Midfielder,110.0,44.0,35.0,31.0,12.0,19.0,1.0,0.0,0.125
241,richard-strebinger,Richard Strebinger,Werder Bremen,Germany,14.02.1993,194.0,90.0,Goalkeeper,83.0,37.0,13.0,33.0,0.0,6.0,1.0,2.0,0.0
242,abou-diaby,Abou Diaby,Arsenal FC,England,11.05.1986,188.0,75.0,Center Midfielder,208.0,109.0,51.0,48.0,21.0,24.0,0.0,2.0,0.75
243,ammar-jemal,Ammar Jemal,AC Ajaccio,France,20.04.1987,186.0,81.0,Left Fullback,99.0,41.0,27.0,31.0,12.0,19.0,2.0,0.0,0.625
244,andre-pierre-gignac,André-Pierre Gignac,Olympique Marseille,France,05.12.1985,186.0,84.0,Center Forward,303.0,115.0,94.0,94.0,101.0,31.0,0.0,0.0,0.125
245,bacary-sagna,Bacary Sagna,Arsenal FC,England,14.02.1983,176.0,72.0,Right Fullback,432.0,227.0,108.0,97.0,5.0,44.0,0.0,2.0,1.0
246,djibril-cisse,Djibril Cissé,Queens Park Rangers,England,12.08.1981,183.0,78.0,Center Forward,545.0,263.0,115.0,167.0,222.0,47.0,0.0,3.0,1.0
247,eric-abidal,Éric Abidal,FC Barcelona,Spain,11.09.1979,186.0,75.0,Left Fullback,457.0,268.0,107.0,82.0,2.0,34.0,0.0,4.0,0.75
248,florent-malouda,Florent Malouda,Chelsea FC,England,13.06.1980,181.0,73.0,Left Winger,604.0,338.0,137.0,129.0,105.0,64.0,3.0,0.0,0.625
249,franck-ribery,Franck Ribéry,Bayern München,Germany,07.04.1983,170.0,72.0,Left Midfielder,466.0,286.0,93.0,87.0,127.0,46.0,3.0,3.0,0.25
250,gael-clichy,Gaël Clichy,Manchester City,England,26.07.1985,176.0,72.0,Left Fullback,389.0,237.0,86.0,66.0,2.0,49.0,1.0,0.0,0.5
251,hugo-lloris,Hugo Lloris,Tottenham Hotspur,England,26.12.1986,186.0,73.0,Goalkeeper,395.0,182.0,116.0,97.0,0.0,6.0,0.0,2.0,0.125
252,jeremy-toulalan,Jérémy Toulalan,Málaga CF,Spain,10.09.1983,183.0,77.0,Defensive Midfielder,418.0,203.0,110.0,105.0,6.0,97.0,2.0,0.0,0.25
253,marc-planus,Marc Planus,Girondins Bordeaux,France,07.03.1982,183.0,76.0,Center Back,337.0,154.0,105.0,78.0,6.0,56.0,0.0,7.0,0.25
254,patrice-evra,Patrice Evra,Manchester United,England,15.05.1981,175.0,76.0,Left Fullback,582.0,352.0,119.0,111.0,12.0,88.0,2.0,2.0,0.75
255,sebastien-squillaci,Sébastien Squillaci,Arsenal FC,England,11.08.1980,183.0,76.0,Center Back,365.0,185.0,92.0,88.0,23.0,37.0,0.0,2.0,0.125
256,sidney-govou,Sidney Govou,Évian Thonon Gaillard,France,27.07.1979,175.0,72.0,Right Winger,473.0,250.0,126.0,97.0,73.0,55.0,3.0,0.0,0.875
257,yoann-gourcuff,Yoann Gourcuff,Olympique Lyon,France,11.07.1986,185.0,79.0,Attacking Midfielder,341.0,178.0,73.0,90.0,51.0,31.0,0.0,2.0,0.125
258,fabricio-coloccini,Fabricio Coloccini,Newcastle United,England,22.01.1982,183.0,76.0,Center Back,463.0,192.0,110.0,161.0,18.0,75.0,4.0,3.0,0.25
259,javier-saviola,Javier Saviola,Málaga CF,Spain,11.12.1981,168.0,60.0,Center Forward,490.0,286.0,106.0,98.0,165.0,36.0,1.0,2.0,0.25
260,cata-diaz,Cata Díaz,Atlético Madrid,Spain,13.03.1979,183.0,72.0,Center Back,452.0,189.0,117.0,146.0,18.0,122.0,2.0,4.0,0.5
261,diego-colotto,Diego Colotto,Espanyol Barcelona,Spain,10.03.1981,184.0,83.0,Center Back,365.0,136.0,101.0,128.0,31.0,76.0,6.0,4.0,0.25
263,hector-moreno,Héctor Moreno,Espanyol Barcelona,Spain,17.01.1988,184.0,80.0,Center Back,302.0,130.0,76.0,96.0,16.0,65.0,0.0,3.0,0.375
264,juan-arango,Juan Arango,Bor. Mönchengladbach,Germany,17.05.1980,180.0,76.0,Attacking Midfielder,536.0,181.0,145.0,210.0,118.0,46.0,0.0,3.0,0.375
265,yohandry-orozco,Yohandry Orozco,VfL Wolfsburg,Germany,19.03.1991,164.0,55.0,Attacking Midfielder,67.0,25.0,22.0,20.0,14.0,4.0,0.0,0.0,0.5
266,damien-duff,Damien Duff,Fulham FC,England,02.03.1979,178.0,70.0,Left Winger,598.0,254.0,151.0,193.0,79.0,33.0,0.0,0.0,0.0
267,john-oshea,John O'Shea,Sunderland AFC,England,30.04.1981,190.0,75.0,Center Back,593.0,337.0,127.0,129.0,20.0,37.0,0.0,1.0,0.125
268,ragnar-klavan,Ragnar Klavan,FC Augsburg,Germany,30.10.1985,185.0,79.0,Center Back,351.0,126.0,77.0,148.0,8.0,38.0,0.0,2.0,0.0
269,richard-dunne,Richard Dunne,Aston Villa,England,21.09.1979,188.0,95.0,Center Back,593.0,224.0,157.0,212.0,16.0,94.0,6.0,6.0,0.0
270,adrian-mutu,Adrian Mutu,AC Ajaccio,France,08.01.1979,180.0,74.0,Left Winger,453.0,199.0,120.0,134.0,178.0,90.0,2.0,3.0,0.25
271,juan-albin,Juan Albín,Espanyol Barcelona,Spain,17.07.1986,179.0,77.0,Left Midfielder,202.0,66.0,59.0,77.0,36.0,26.0,2.0,0.0,0.375
272,costel-pantilimon,Costel Pantilimon,Manchester City,England,01.02.1987,203.0,96.0,Goalkeeper,145.0,71.0,43.0,31.0,0.0,13.0,0.0,1.0,0.125
273,cristian-spunaru,Cristian S?punaru,Real Zaragoza,Spain,05.04.1984,187.0,81.0,Right Fullback,193.0,104.0,38.0,51.0,9.0,58.0,3.0,1.0,0.125
274,gabriel-torje,Gabriel Torje,Granada CF,Spain,22.11.1989,167.0,64.0,Right Midfielder,265.0,115.0,68.0,82.0,43.0,44.0,0.0,0.0,0.25
275,marcos-antonio, Marcos António,1. FC Nürnberg,Germany,25.05.1983,187.0,87.0,Center Back,137.0,53.0,41.0,43.0,3.0,25.0,0.0,0.0,0.5
276,chris-gunter,Chris Gunter,Reading FC,England,21.07.1989,180.0,71.0,Right Fullback,330.0,120.0,78.0,132.0,3.0,29.0,1.0,1.0,0.125
277,daniel-wass,Daniel Wass,Évian Thonon Gaillard,France,31.05.1989,181.0,74.0,Right Fullback,216.0,89.0,54.0,73.0,23.0,15.0,0.0,0.0,0.0
278,didier-ya-konan,Didier Ya Konan,Hannover 96,Germany,22.05.1984,174.0,74.0,Center Forward,223.0,99.0,50.0,74.0,60.0,26.0,1.0,1.0,1.0
279,marcus-berg,Marcus Berg,Hamburger SV,Germany,17.08.1986,184.0,76.0,Center Forward,241.0,119.0,52.0,70.0,94.0,26.0,0.0,1.0,0.25
280,per-skjelbred,Per Skjelbred,Hamburger SV,Germany,16.06.1987,175.0,74.0,Attacking Midfielder,223.0,100.0,54.0,69.0,12.0,16.0,0.0,0.0,0.0
281,sebastian-larsson,Sebastian Larsson,Sunderland AFC,England,06.06.1985,178.0,70.0,Right Midfielder,397.0,166.0,95.0,136.0,42.0,58.0,0.0,0.0,0.0
282,stephan-andersen,Stephan Andersen,Évian Thonon Gaillard,France,26.11.1981,188.0,82.0,Goalkeeper,252.0,102.0,55.0,95.0,0.0,5.0,0.0,0.0,0.0
283,tobias-mikkelsen,Tobias Mikkelsen,SpVgg Greuther Fürth,Germany,18.09.1986,179.0,72.0,Right Winger,167.0,75.0,37.0,55.0,20.0,19.0,0.0,0.0,0.125
284,vadim-demidov,Vadim Demidov,Eintracht Frankfurt,Germany,10.10.1986,185.0,80.0,Center Back,188.0,80.0,43.0,65.0,7.0,25.0,2.0,0.0,0.25
285,zlatan-ibrahimovic,Zlatan Ibrahimovi?,Paris Saint-Germain,France,03.10.1981,192.0,84.0,Center Forward,607.0,377.0,135.0,95.0,330.0,94.0,4.0,6.0,0.25
286,carlos-zambrano,Carlos Zambrano,Eintracht Frankfurt,Germany,10.07.1989,185.0,78.0,Center Back,156.0,68.0,35.0,53.0,5.0,53.0,2.0,2.0,0.25
287,kenwyne-jones,Kenwyne Jones,Stoke City,England,05.10.1984,188.0,78.0,Right Winger,367.0,127.0,82.0,158.0,91.0,16.0,0.0,2.0,1.0
288,franco-zuculini,Franco Zuculini,Real Zaragoza,Spain,05.09.1990,174.0,69.0,Defensive Midfielder,136.0,52.0,29.0,55.0,5.0,25.0,2.0,1.0,0.25
289,felipe-santana, Felipe Santana,Borussia Dortmund,Germany,17.03.1986,194.0,80.0,Center Back,176.0,92.0,41.0,43.0,14.0,19.0,1.0,0.0,0.75
290,adam-smith_3,Adam Smith,Millwall FC,England,29.04.1991,173.0,73.0,Right Fullback,131.0,55.0,31.0,45.0,4.0,29.0,2.0,1.0,0.0
291,alexis-sanchez,Alexis Sánchez,FC Barcelona,Spain,19.12.1988,170.0,73.0,Right Winger,373.0,215.0,67.0,91.0,96.0,60.0,2.0,2.0,0.375
292,alvaro-negredo, Álvaro Negredo,Sevilla FC,Spain,20.08.1985,186.0,87.0,Center Forward,321.0,162.0,58.0,101.0,150.0,27.0,0.0,5.0,0.125
294,andros-townsend,Andros Townsend,Tottenham Hotspur (R),England,16.07.1991,183.0,76.0,Left Midfielder,158.0,67.0,33.0,58.0,17.0,15.0,0.0,1.0,0.25
295,arbeloa, Arbeloa,Real Madrid,Spain,17.01.1983,184.0,79.0,Right Fullback,364.0,244.0,71.0,49.0,6.0,85.0,5.0,0.0,0.25
296,arizmendi, Arizmendi,RCD Mallorca,Spain,03.03.1984,189.0,76.0,Center Forward,270.0,100.0,72.0,98.0,36.0,35.0,2.0,0.0,0.25
297,beg-ferati,Beg Ferati,SC Freiburg,Germany,10.11.1986,188.0,81.0,Center Back,136.0,69.0,26.0,41.0,2.0,19.0,1.0,0.0,0.25
298,carl-jenkinson,Carl Jenkinson,Arsenal FC,England,08.02.1992,185.0,77.0,Right Fullback,71.0,41.0,9.0,21.0,1.0,3.0,2.0,0.0,0.125
299,cesc-fabregas, Cesc Fàbregas,FC Barcelona,Spain,04.05.1987,179.0,75.0,Center Midfielder,539.0,353.0,107.0,79.0,112.0,92.0,0.0,1.0,0.25
300,claudio-bravo,Claudio Bravo,Real Sociedad,Spain,13.04.1983,185.0,84.0,Goalkeeper,319.0,132.0,76.0,111.0,1.0,19.0,0.0,1.0,0.25
301,danny-rose,Danny Rose,Sunderland AFC,England,02.07.1990,173.0,74.0,Left Fullback,145.0,65.0,34.0,46.0,5.0,22.0,1.0,2.0,0.75
302,david-navarro, David Navarro,Levante UD,Spain,25.05.1980,188.0,82.0,Center Back,276.0,129.0,73.0,74.0,12.0,74.0,5.0,2.0,0.0
303,gary-medel,Gary Medel,Sevilla FC,Spain,03.08.1987,171.0,76.0,Defensive Midfielder,300.0,121.0,74.0,105.0,28.0,77.0,6.0,10.0,0.125
304,giovanni-sio,Giovanni Sio,FC Augsburg,Germany,31.03.1989,181.0,77.0,Left Midfielder,125.0,53.0,36.0,36.0,35.0,30.0,1.0,2.0,0.75
305,gonzalo-jara,Gonzalo Jara,West Bromwich Albion,England,29.08.1985,178.0,71.0,Center Back,253.0,102.0,64.0,87.0,6.0,45.0,1.0,6.0,0.25
306,iniesta, Iniesta,FC Barcelona,Spain,11.05.1984,170.0,65.0,Left Midfielder,575.0,401.0,106.0,68.0,58.0,47.0,0.0,0.0,0.125
307,jack-robinson_2,Jack Robinson,Liverpool FC,England,01.09.1993,168.0,64.0,Left Fullback,69.0,24.0,16.0,29.0,0.0,10.0,1.0,2.0,0.25
308,javi-garcia, Javi García,Manchester City,England,08.02.1987,186.0,82.0,Defensive Midfielder,251.0,158.0,42.0,51.0,14.0,66.0,1.0,2.0,0.125
309,jean-beausejour,Jean Beausejour,Wigan Athletic,England,01.06.1984,178.0,81.0,Left Midfielder,307.0,130.0,74.0,103.0,31.0,45.0,1.0,3.0,0.5
310,jesus-navas, Jesús Navas,Sevilla FC,Spain,21.11.1985,172.0,64.0,Right Midfielder,457.0,252.0,74.0,131.0,41.0,50.0,0.0,1.0,0.0
312,jordan-henderson,Jordan Henderson,Liverpool FC,England,17.06.1990,182.0,67.0,Right Midfielder,252.0,117.0,52.0,83.0,22.0,26.0,0.0,1.0,0.125
313,junior-fernandes,Junior Fernandes,Bayer Leverkusen,Germany,04.10.1988,181.0,78.0,Center Forward,158.0,78.0,30.0,50.0,42.0,19.0,0.0,1.0,0.75
314,koke_2, Koke,Atlético Madrid,Spain,08.01.1992,178.0,74.0,Defensive Midfielder,192.0,120.0,34.0,38.0,15.0,28.0,0.0,0.0,0.25
315,lars-unnerstall,Lars Unnerstall,FC Schalke 04,Germany,20.07.1990,198.0,100.0,Goalkeeper,129.0,60.0,27.0,42.0,0.0,4.0,0.0,0.0,0.0
316,nacho_9, Nacho,Real Madrid,Spain,18.01.1990,179.0,75.0,Center Back,365.0,152.0,86.0,127.0,13.0,69.0,2.0,0.0,0.0
319,pedro_7, Pedro,FC Barcelona,Spain,28.07.1987,169.0,64.0,Right Winger,303.0,223.0,46.0,34.0,101.0,23.0,0.0,0.0,0.125
320,pepe-reina, Pepe Reina,Liverpool FC,England,31.08.1982,188.0,92.0,Goalkeeper,647.0,340.0,159.0,148.0,0.0,25.0,0.0,2.0,0.25
321,raheem-sterling,Raheem Sterling,Liverpool FC,England,08.12.1994,170.0,69.0,Right Midfielder,89.0,51.0,15.0,23.0,16.0,9.0,0.0,0.0,0.75
322,raphael-holzhauser,Raphael Holzhauser,VfB Stuttgart,Germany,16.02.1993,193.0,85.0,Center Midfielder,158.0,65.0,39.0,54.0,30.0,18.0,0.0,1.0,0.125
323,raul-albiol, Raúl Albiol,Real Madrid,Spain,04.09.1985,190.0,82.0,Center Back,392.0,242.0,71.0,79.0,10.0,68.0,1.0,3.0,0.0
324,ricardo-rodriguez,Ricardo Rodríguez,VfL Wolfsburg,Germany,25.08.1992,180.0,77.0,Left Fullback,148.0,69.0,34.0,45.0,9.0,8.0,1.0,0.0,0.375
325,santi-cazorla, Santi Cazorla,Arsenal FC,England,13.12.1984,168.0,66.0,Right Midfielder,467.0,256.0,98.0,113.0,76.0,39.0,0.0,0.0,0.25
326,sergio-ramos, Sergio Ramos,Real Madrid,Spain,30.03.1986,183.0,75.0,Right Fullback,548.0,369.0,81.0,98.0,58.0,152.0,12.0,7.0,0.0
327,soldado, Soldado,Valencia CF,Spain,27.05.1985,179.0,72.0,Center Forward,317.0,148.0,67.0,102.0,149.0,80.0,0.0,3.0,0.0
328,thierry-doubai,Thierry Doubaï,FC Sochaux,France,01.07.1988,180.0,75.0,Defensive Midfielder,134.0,67.0,25.0,42.0,5.0,12.0,1.0,0.0,0.875
330,victor-sanchez, Víctor Sánchez,Espanyol Barcelona,Spain,08.09.1987,174.0,73.0,Defensive Midfielder,165.0,49.0,42.0,74.0,10.0,56.0,4.0,2.0,0.25
331,victor-valdes, Víctor Valdés,FC Barcelona,Spain,14.01.1982,183.0,78.0,Goalkeeper,543.0,365.0,111.0,67.0,0.0,32.0,1.0,2.0,0.25
332,xavi, Xavi,FC Barcelona,Spain,25.01.1980,170.0,68.0,Attacking Midfielder,816.0,527.0,167.0,122.0,96.0,59.0,2.0,0.0,0.0
334,thomas-kahlenberg,Thomas Kahlenberg,VfL Wolfsburg,Germany,20.03.1983,183.0,72.0,Attacking Midfielder,275.0,117.0,60.0,98.0,32.0,23.0,0.0,2.0,0.0
335,brede-hangeland,Brede Hangeland,Fulham FC,England,20.06.1981,195.0,85.0,Center Back,412.0,161.0,103.0,148.0,19.0,38.0,0.0,1.0,0.125
336,daniel-braaten,Daniel Braaten,Toulouse FC,France,25.05.1982,184.0,85.0,Right Winger,269.0,105.0,72.0,92.0,22.0,29.0,0.0,0.0,0.5
337,wilson-palacios,Wilson Palacios,Stoke City,England,29.07.1984,178.0,71.0,Defensive Midfielder,256.0,103.0,64.0,89.0,4.0,56.0,1.0,3.0,0.75
338,garra-dembele,Garra Dembélé,SC Freiburg,Germany,21.02.1986,187.0,79.0,Center Forward,99.0,39.0,21.0,39.0,45.0,24.0,2.0,0.0,1.0
339,paul-scholes,Paul Scholes,Manchester United,England,16.11.1974,170.0,72.0,Center Midfielder,736.0,449.0,156.0,131.0,150.0,146.0,6.0,3.0,0.0
340,phil-neville,Phil Neville,Everton FC,England,21.01.1977,180.0,75.0,Right Fullback,701.0,392.0,155.0,154.0,12.0,111.0,2.0,1.0,0.25
341,adrian_7, Adrián,SD Compostela,Spain,21.05.1983,188.0,82.0,Goalkeeper,323.0,155.0,73.0,95.0,60.0,19.0,0.0,0.0,0.25
342,holger-badstuber,Holger Badstuber,Bayern München,Germany,13.03.1989,190.0,83.0,Center Back,242.0,142.0,52.0,48.0,11.0,37.0,1.0,1.0,0.0
343,jens-hegeler,Jens Hegeler,Bayer Leverkusen,Germany,22.01.1988,193.0,86.0,Defensive Midfielder,224.0,112.0,46.0,66.0,16.0,20.0,1.0,0.0,0.0
344,lars-stindl,Lars Stindl,Hannover 96,Germany,26.08.1988,180.0,78.0,Attacking Midfielder,247.0,96.0,55.0,96.0,39.0,58.0,2.0,0.0,0.25
345,lewis-holtby,Lewis Holtby,FC Schalke 04,Germany,18.09.1990,176.0,72.0,Attacking Midfielder,253.0,125.0,52.0,76.0,54.0,25.0,0.0,0.0,0.0
346,marcel-schmelzer,Marcel Schmelzer,Borussia Dortmund,Germany,22.01.1988,181.0,74.0,Left Fullback,261.0,149.0,60.0,52.0,4.0,31.0,1.0,1.0,0.0
347,marco-reus,Marco Reus,Borussia Dortmund,Germany,31.05.1989,180.0,67.0,Left Winger,270.0,126.0,60.0,84.0,98.0,35.0,0.0,0.0,0.0
348,nils-petersen,Nils Petersen,Werder Bremen,Germany,06.12.1988,188.0,80.0,Center Forward,223.0,85.0,52.0,86.0,80.0,16.0,0.0,0.0,0.25
349,philipp-bargfrede,Philipp Bargfrede,Werder Bremen,Germany,03.03.1989,174.0,71.0,Defensive Midfielder,153.0,61.0,37.0,55.0,5.0,34.0,1.0,0.0,0.25
350,sebastian-langkamp,Sebastian Langkamp,FC Augsburg,Germany,15.01.1988,190.0,85.0,Center Back,182.0,56.0,48.0,78.0,12.0,39.0,1.0,1.0,0.0
351,stefano-celozzi,Stefano Celozzi,Eintracht Frankfurt,Germany,02.11.1988,171.0,65.0,Right Fullback,199.0,78.0,52.0,69.0,3.0,10.0,0.0,1.0,0.0
352,thomas-mueller,Thomas Müller,Bayern München,Germany,13.09.1989,186.0,74.0,Attacking Midfielder,355.0,243.0,59.0,53.0,142.0,17.0,1.0,0.0,0.125
